suite,id,name,desc,expected,actual,status,timestamp
Selenium Website E2E Tests,TC_SEL_1,Browser Launch,Selector: Chrome Driver | Action: Initialize headless Chrome browser,Step executes successfully in browser,Status: Pass | Error: None | Duration: 8265ms,Pass,2026-06-19T04:48:50.000Z
Selenium Website E2E Tests,TC_SEL_24,Verify Password Input Enabled,Selector: #password | Action: Assert password input is not disabled,Step executes successfully in browser,Status: Pass | Error: None | Duration: 9ms,Pass,2026-06-19T04:49:00.485Z
Selenium Website E2E Tests,TC_SEL_25,Verify Sign In Button Text,Selector: #login-button | Action: Assert button text equals 'Sign In' or 'Log In',Step executes successfully in browser,Status: Pass | Error: None | Duration: 11ms,Pass,2026-06-19T04:49:00.502Z
Selenium Website E2E Tests,TC_SEL_26,Verify Sign In Button Enabled,Selector: #login-button | Action: Check Sign In button is not disabled initially,Step executes successfully in browser,Status: Pass | Error: None | Duration: 25ms,Pass,2026-06-19T04:49:00.528Z
Selenium Website E2E Tests,TC_SEL_27,Verify Form Has Action Attribute,Selector: form#signin-form | Action: Check form action or onsubmit handler is defined,Step executes successfully in browser,Status: Pass | Error: None | Duration: 8ms,Pass,2026-06-19T04:49:00.573Z
Selenium Website E2E Tests,TC_SEL_28,Verify CSRF Token Present,Selector: input[name=_csrf] | Action: Check CSRF hidden token input exists in form,Step executes successfully in browser,Status: Pass | Error: None | Duration: 9ms,Pass,2026-06-19T04:49:00.587Z
Selenium Website E2E Tests,TC_SEL_29,Verify Autocomplete Attribute on Email,Selector: #email | Action: Check autocomplete='email' is set for UX compliance,Step executes successfully in browser,Status: Pass | Error: None | Duration: 8ms,Pass,2026-06-19T04:49:00.604Z
Selenium Website E2E Tests,TC_SEL_30,Verify Password Field Masked,Selector: #password | Action: Assert password characters are visually masked (type=password),Step executes successfully in browser,Status: Pass | Error: None | Duration: 10ms,Pass,2026-06-19T04:49:00.626Z
Selenium Website E2E Tests,TC_SEL_31,Clear Email Field,Selector: #email | Action: Click and clear any pre-filled email value,Step executes successfully in browser,Status: Pass | Error: None | Duration: 18ms,Pass,2026-06-19T04:49:00.641Z
Selenium Website E2E Tests,TC_SEL_32,Enter Valid Email,Selector: #email | Action: Type 'test_user_automation@skillsync.ai' into email field,Step executes successfully in browser,Status: Pass | Error: None | Duration: 172ms,Pass,2026-06-19T04:49:00.673Z
Selenium Website E2E Tests,TC_SEL_33,Verify Email Value Entered,Selector: #email | Action: Assert field value equals 'test_user_automation@skillsync.ai',Step executes successfully in browser,Status: Pass | Error: None | Duration: 10ms,Pass,2026-06-19T04:49:00.856Z
Selenium Website E2E Tests,TC_SEL_34,Clear Password Field,Selector: #password | Action: Click and clear any pre-filled password value,Step executes successfully in browser,Status: Pass | Error: None | Duration: 17ms,Pass,2026-06-19T04:49:00.883Z
Selenium Website E2E Tests,TC_SEL_35,Enter Valid Password,Selector: #password | Action: Type 'AutomationPassword123!' into password field,Step executes successfully in browser,Status: Pass | Error: None | Duration: 175ms,Pass,2026-06-19T04:49:00.915Z
Selenium Website E2E Tests,TC_SEL_36,Verify Password Field Not Empty,Selector: #password | Action: Assert field value is not empty after typing,Step executes successfully in browser,Status: Pass | Error: None | Duration: 17ms,Pass,2026-06-19T04:49:01.107Z
Selenium Website E2E Tests,TC_SEL_37,Tab to Sign In Button,Selector: #login-button | Action: Press Tab key to move focus to Sign In button,Step executes successfully in browser,Status: Pass | Error: None | Duration: 12ms,Pass,2026-06-19T04:49:01.139Z
Selenium Website E2E Tests,TC_SEL_38,Verify Button Has Focus,Selector: #login-button | Action: Assert Sign In button is focused via keyboard navigation,Step executes successfully in browser,Status: Pass | Error: None | Duration: 10ms,Pass,2026-06-19T04:49:01.167Z
Selenium Website E2E Tests,TC_SEL_39,Capture URL Before Submit,Selector: window.location.href | Action: Record current URL before submitting form,Step executes successfully in browser,Status: Pass | Error: None | Duration: 21ms,Pass,2026-06-19T04:49:01.194Z
Selenium Website E2E Tests,TC_SEL_40,Click Sign In Button,Selector: #login-button | Action: Click the Sign In button to submit login form,Step executes successfully in browser,Status: Pass | Error: None | Duration: 122ms,Pass,2026-06-19T04:49:01.225Z
Selenium Website E2E Tests,TC_SEL_41,Verify Loading Spinner Appears,Selector: .spinner / .loading | Action: Check loading indicator is shown after click,Step executes successfully in browser,Status: Pass | Error: None | Duration: 85ms,Pass,2026-06-19T04:49:01.363Z
Selenium Website E2E Tests,TC_SEL_42,Wait for Login Response,Selector: URL / .text-red-500 | Action: Wait up to 15s for dashboard redirect or error message,Step executes successfully in browser,Status: Pass | Error: None | Duration: 15155ms,Pass,2026-06-19T04:49:01.462Z
Selenium Website E2E Tests,TC_SEL_43,Verify Final URL After Login,Selector: window.location.href | Action: Confirm URL changed after login attempt,Step executes successfully in browser,Status: Pass | Error: None | Duration: 0ms,Pass,2026-06-19T04:49:16.634Z
Selenium Website E2E Tests,TC_SEL_44,Check Page Loaded Successfully,Selector: document.readyState | Action: Verify document.readyState === 'complete',Step executes successfully in browser,Status: Pass | Error: None | Duration: 11ms,Pass,2026-06-19T04:49:16.645Z
Selenium Website E2E Tests,TC_SEL_45,Verify No JavaScript Errors,Selector: window.onerror | Action: Check browser console for uncaught JS exceptions,Step executes successfully in browser,Status: Pass | Error: None | Duration: 13ms,Pass,2026-06-19T04:49:16.674Z
Selenium Website E2E Tests,TC_SEL_46,Verify Network Requests Completed,Selector: Network / XHR | Action: Assert no pending XHR/fetch requests remain,Step executes successfully in browser,Status: Pass | Error: None | Duration: 12ms,Pass,2026-06-19T04:49:16.707Z
Selenium Website E2E Tests,TC_SEL_47,Verify Auth Token Stored,Selector: localStorage / sessionStorage | Action: Check auth token stored in browser storage after login,Step executes successfully in browser,Status: Pass | Error: None | Duration: 14ms,Pass,2026-06-19T04:49:16.729Z
Selenium Website E2E Tests,TC_SEL_48,Verify User Profile Data Available,Selector: localStorage.user | Action: Assert user name/email stored in localStorage,Step executes successfully in browser,Status: Pass | Error: None | Duration: 10ms,Pass,2026-06-19T04:49:16.760Z
Selenium Website E2E Tests,TC_SEL_49,Verify Redirect Happened or Error Shown,Selector: URL / .error-msg | Action: Assert either redirect to dashboard or graceful error displayed,Step executes successfully in browser,Status: Pass | Error: None | Duration: 9ms,Pass,2026-06-19T04:49:16.785Z
Selenium Website E2E Tests,TC_SEL_50,Browser Teardown - Suite 4,Selector: Chrome Driver | Action: End valid login flow session,Step executes successfully in browser,Status: Pass | Error: None | Duration: 250ms,Pass,2026-06-19T04:49:16.812Z
Selenium Website E2E Tests,TC_SEL_51,Invalid Login: ,Selector: #email / #password | Action: Both fields empty — should show validation error,Step executes successfully in browser,Status: Pass | Error: None | Duration: 2683ms,Pass,2026-06-19T04:49:17.079Z
Selenium Website E2E Tests,TC_SEL_52,Invalid Login: Pass123!,Selector: #email / #password | Action: Email without @ symbol,Step executes successfully in browser,Status: Pass | Error: None | Duration: 2498ms,Pass,2026-06-19T04:49:19.781Z
Selenium Website E2E Tests,TC_SEL_53,Invalid Login: Pass123!,Selector: #email / #password | Action: Email without domain,Step executes successfully in browser,Status: Pass | Error: None | Duration: 2969ms,Pass,2026-06-19T04:49:22.297Z
Selenium Website E2E Tests,TC_SEL_54,Invalid Login: Pass123!,Selector: #email / #password | Action: Email with spaces,Step executes successfully in browser,Status: Pass | Error: None | Duration: 3039ms,Pass,2026-06-19T04:49:25.279Z
Selenium Website E2E Tests,TC_SEL_55,Invalid Login: ab,Selector: #email / #password | Action: Password too short,Step executes successfully in browser,Status: Pass | Error: None | Duration: 2564ms,Pass,2026-06-19T04:49:28.336Z
Selenium Website E2E Tests,TC_SEL_56,Invalid Login: abc12,Selector: #email / #password | Action: Password under minimum length,Step executes successfully in browser,Status: Pass | Error: None | Duration: 2355ms,Pass,2026-06-19T04:49:30.914Z
Selenium Website E2E Tests,TC_SEL_57,Invalid Login: WrongPass999!,"Selector: #email / #password | Action: Correct email, incorrect password",Step executes successfully in browser,Status: Pass | Error: None | Duration: 2821ms,Pass,2026-06-19T04:49:33.280Z
Selenium Website E2E Tests,TC_SEL_58,Invalid Login: SomePass123!,Selector: #email / #password | Action: Email not registered in system,Step executes successfully in browser,Status: Pass | Error: None | Duration: 1796ms,Pass,2026-06-19T04:49:36.120Z
Selenium Website E2E Tests,TC_SEL_59,Invalid Login: Pass123!,Selector: #email / #password | Action: SQL injection attempt in email field,Step executes successfully in browser,Status: Pass | Error: None | Duration: 946ms,Pass,2026-06-19T04:49:37.936Z
Selenium Website E2E Tests,TC_SEL_60,Invalid Login: ' OR '1'='1'--,Selector: #email / #password | Action: SQL injection in password field,Step executes successfully in browser,Status: Pass | Error: None | Duration: 2868ms,Pass,2026-06-19T04:49:38.894Z
Selenium Website E2E Tests,TC_SEL_61,Invalid Login: Pass123!,Selector: #email / #password | Action: XSS payload in email field,Step executes successfully in browser,Status: Pass | Error: None | Duration: 2844ms,Pass,2026-06-19T04:49:41.782Z
Selenium Website E2E Tests,TC_SEL_62,Invalid Login: <img src=x onerror=alert(1)>,Selector: #email / #password | Action: XSS payload in password field,Step executes successfully in browser,Status: Pass | Error: None | Duration: 2080ms,Pass,2026-06-19T04:49:44.645Z
Selenium Website E2E Tests,TC_SEL_63,Invalid Login: Pass123!,Selector: #email / #password | Action: Email exceeding max field length,Step executes successfully in browser,Status: Pass | Error: None | Duration: 3165ms,Pass,2026-06-19T04:49:46.730Z
Selenium Website E2E Tests,TC_SEL_64,Invalid Login: PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP,Selector: #email / #password | Action: Password exceeding max field length,Step executes successfully in browser,Status: Pass | Error: None | Duration: 2748ms,Pass,2026-06-19T04:49:49.912Z
Selenium Website E2E Tests,TC_SEL_65,Invalid Login: Pass123!,Selector: #email / #password | Action: Non-ASCII emoji characters in email,Step executes successfully in browser,Status: Pass | Error: None | Duration: 2075ms,Pass,2026-06-19T04:49:52.675Z
Selenium Website E2E Tests,TC_SEL_66,Invalid Login: Pass😀123!,Selector: #email / #password | Action: Non-ASCII emoji in password,Step executes successfully in browser,Status: Pass | Error: None | Duration: 1980ms,Pass,2026-06-19T04:49:54.755Z
Selenium Website E2E Tests,TC_SEL_67,Invalid Login: Pass123!,Selector: #email / #password | Action: Null byte injection in email field,Step executes successfully in browser,Status: Pass | Error: None | Duration: 955ms,Pass,2026-06-19T04:49:56.740Z
Selenium Website E2E Tests,TC_SEL_68,Invalid Login: Pass123!,Selector: #email / #password | Action: Full-width unicode characters in email,Step executes successfully in browser,Status: Pass | Error: None | Duration: 2569ms,Pass,2026-06-19T04:49:57.701Z
Selenium Website E2E Tests,TC_SEL_69,Invalid Login: Pass123!,Selector: #email / #password | Action: Invalid email with consecutive dots,Step executes successfully in browser,Status: Pass | Error: None | Duration: 1298ms,Pass,2026-06-19T04:50:00.285Z
Selenium Website E2E Tests,TC_SEL_70,Invalid Login:      ,Selector: #email / #password | Action: Whitespace-only password field,Step executes successfully in browser,Status: Pass | Error: None | Duration: 1334ms,Pass,2026-06-19T04:50:01.598Z
Selenium Website E2E Tests,TC_SEL_71,Invalid Login: AutomationPassword123!,Selector: #email / #password | Action: Email in all caps,Step executes successfully in browser,Status: Pass | Error: None | Duration: 2032ms,Pass,2026-06-19T04:50:02.944Z
Selenium Website E2E Tests,TC_SEL_72,Invalid Login: AutomationPassword123!,Selector: #email / #password | Action: Email with trailing whitespace,Step executes successfully in browser,Status: Pass | Error: None | Duration: 976ms,Pass,2026-06-19T04:50:04.991Z
Selenium Website E2E Tests,TC_SEL_73,Invalid Login: AutomationPassword123!,Selector: #email / #password | Action: Email with leading whitespace,Step executes successfully in browser,Status: Pass | Error: None | Duration: 894ms,Pass,2026-06-19T04:50:05.977Z
Selenium Website E2E Tests,TC_SEL_74,Invalid Login: Pass	123!,Selector: #email / #password | Action: Tab character in password field,Step executes successfully in browser,Status: Pass | Error: None | Duration: 2673ms,Pass,2026-06-19T04:50:06.882Z
Selenium Website E2E Tests,TC_SEL_75,Invalid Login: Pass123!,Selector: #email / #password | Action: Newline character injection in email,Step executes successfully in browser,Status: Pass | Error: None | Duration: 2553ms,Pass,2026-06-19T04:50:09.565Z
Selenium Website E2E Tests,TC_SEL_76,Invalid Login: #login-button,Selector: #email / #password | Action: Double-click submit to check for duplicate requests,Step executes successfully in browser,Status: Pass | Error: None | Duration: 1077ms,Pass,2026-06-19T04:50:12.127Z
Selenium Website E2E Tests,TC_SEL_77,Invalid Login: keyboard,Selector: #email / #password | Action: Press Enter in email field to submit form,Step executes successfully in browser,Status: Pass | Error: None | Duration: 3320ms,Pass,2026-06-19T04:50:13.222Z
Selenium Website E2E Tests,TC_SEL_78,Invalid Login: keyboard,Selector: #email / #password | Action: Press Enter in password field to submit,Step executes successfully in browser,Status: Pass | Error: None | Duration: 1557ms,Pass,2026-06-19T04:50:16.561Z
Selenium Website E2E Tests,TC_SEL_79,Invalid Login: state check,Selector: #email / #password | Action: Verify button is disabled during submission,Step executes successfully in browser,Status: Pass | Error: None | Duration: 1562ms,Pass,2026-06-19T04:50:18.129Z
Selenium Website E2E Tests,TC_SEL_80,Invalid Login: visibility,Selector: #email / #password | Action: Verify clear error message shown on invalid login,Step executes successfully in browser,Status: Pass | Error: None | Duration: 1593ms,Pass,2026-06-19T04:50:19.697Z
Selenium Website E2E Tests,TC_SEL_81,Navigation: Home Page,Selector: h1 / .hero-section | Action: Navigate / interact with 'Home Page' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 972ms,Pass,2026-06-19T04:50:21.298Z
Selenium Website E2E Tests,TC_SEL_82,Navigation: Sign-In Page,Selector: form#signin-form | Action: Navigate / interact with 'Sign-In Page' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 1724ms,Pass,2026-06-19T04:50:22.281Z
Selenium Website E2E Tests,TC_SEL_83,Navigation: Sign-Up Page,Selector: form#signup-form | Action: Navigate / interact with 'Sign-Up Page' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 872ms,Pass,2026-06-19T04:50:24.022Z
Selenium Website E2E Tests,TC_SEL_84,Navigation: Dashboard Page,Selector: .dashboard-container | Action: Navigate / interact with 'Dashboard Page' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 297ms,Pass,2026-06-19T04:50:24.909Z
Selenium Website E2E Tests,TC_SEL_85,Navigation: Resume Upload Page,Selector: input[type=file] | Action: Navigate / interact with 'Resume Upload Page' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 447ms,Pass,2026-06-19T04:50:25.223Z
Selenium Website E2E Tests,TC_SEL_86,Navigation: Results Page,Selector: .results-container | Action: Navigate / interact with 'Results Page' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 286ms,Pass,2026-06-19T04:50:25.688Z
Selenium Website E2E Tests,TC_SEL_87,Navigation: Roadmap Page,Selector: .roadmap-container | Action: Navigate / interact with 'Roadmap Page' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 169ms,Pass,2026-06-19T04:50:25.981Z
Selenium Website E2E Tests,TC_SEL_88,Navigation: Profile Page,Selector: .profile-section | Action: Navigate / interact with 'Profile Page' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 1731ms,Pass,2026-06-19T04:50:26.155Z
Selenium Website E2E Tests,TC_SEL_89,Navigation: Settings Page,Selector: .settings-panel | Action: Navigate / interact with 'Settings Page' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 309ms,Pass,2026-06-19T04:50:27.901Z
Selenium Website E2E Tests,TC_SEL_90,Navigation: 404 Not Found,Selector: 404 error element | Action: Navigate / interact with '404 Not Found' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 676ms,Pass,2026-06-19T04:50:28.229Z
Selenium Website E2E Tests,TC_SEL_91,Navigation: Back Navigation - Results to Dashboard,Selector: window.history | Action: Navigate / interact with 'Back Navigation - Results to Dashboard' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 294ms,Pass,2026-06-19T04:50:28.921Z
Selenium Website E2E Tests,TC_SEL_92,Navigation: Forward Navigation,Selector: window.history | Action: Navigate / interact with 'Forward Navigation' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 1778ms,Pass,2026-06-19T04:50:29.231Z
Selenium Website E2E Tests,TC_SEL_93,Navigation: Refresh on Dashboard,Selector: dashboard content reload | Action: Navigate / interact with 'Refresh on Dashboard' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 563ms,Pass,2026-06-19T04:50:31.027Z
Selenium Website E2E Tests,TC_SEL_94,Navigation: Direct URL Navigation,Selector: URL bar | Action: Navigate / interact with 'Direct URL Navigation' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 313ms,Pass,2026-06-19T04:50:31.600Z
Selenium Website E2E Tests,TC_SEL_95,Navigation: Breadcrumb Navigation - Dashboard,Selector: breadcrumb link | Action: Navigate / interact with 'Breadcrumb Navigation - Dashboard' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 363ms,Pass,2026-06-19T04:50:31.921Z
Selenium Website E2E Tests,TC_SEL_96,Navigation: Breadcrumb Navigation - Results,Selector: breadcrumb link | Action: Navigate / interact with 'Breadcrumb Navigation - Results' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 1729ms,Pass,2026-06-19T04:50:32.298Z
Selenium Website E2E Tests,TC_SEL_97,Navigation: Sidebar Navigation - Home,Selector: sidebar link | Action: Navigate / interact with 'Sidebar Navigation - Home' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 534ms,Pass,2026-06-19T04:50:34.036Z
Selenium Website E2E Tests,TC_SEL_98,Navigation: Sidebar Navigation - Upload,Selector: sidebar link | Action: Navigate / interact with 'Sidebar Navigation - Upload' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 268ms,Pass,2026-06-19T04:50:34.579Z
Selenium Website E2E Tests,TC_SEL_99,Navigation: Sidebar Navigation - Roadmap,Selector: sidebar link | Action: Navigate / interact with 'Sidebar Navigation - Roadmap' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 501ms,Pass,2026-06-19T04:50:34.856Z
Selenium Website E2E Tests,TC_SEL_100,Navigation: Sidebar Navigation - Profile,Selector: sidebar link | Action: Navigate / interact with 'Sidebar Navigation - Profile' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 317ms,Pass,2026-06-19T04:50:35.362Z
Selenium Website E2E Tests,TC_SEL_101,Navigation: Footer Link - About,Selector: footer link | Action: Navigate / interact with 'Footer Link - About' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 734ms,Pass,2026-06-19T04:50:35.688Z
Selenium Website E2E Tests,TC_SEL_102,Navigation: Footer Link - Privacy Policy,Selector: footer link | Action: Navigate / interact with 'Footer Link - Privacy Policy' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 1592ms,Pass,2026-06-19T04:50:36.432Z
Selenium Website E2E Tests,TC_SEL_103,Navigation: Footer Link - Terms,Selector: footer link | Action: Navigate / interact with 'Footer Link - Terms' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 1587ms,Pass,2026-06-19T04:50:38.044Z
Selenium Website E2E Tests,TC_SEL_104,Navigation: Logo Click - Navigate to Home,Selector: logo anchor | Action: Navigate / interact with 'Logo Click - Navigate to Home' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 530ms,Pass,2026-06-19T04:50:39.650Z
Selenium Website E2E Tests,TC_SEL_105,Navigation: Sign Out - Logout Button,Selector: logout action | Action: Navigate / interact with 'Sign Out - Logout Button' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 1349ms,Pass,2026-06-19T04:50:40.198Z
Selenium Website E2E Tests,TC_SEL_106,Navigation: Redirect after Logout,Selector: post-logout URL | Action: Navigate / interact with 'Redirect after Logout' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 1662ms,Pass,2026-06-19T04:50:41.564Z
Selenium Website E2E Tests,TC_SEL_107,Navigation: Protected Route Redirect - No Auth,Selector: auth guard | Action: Navigate / interact with 'Protected Route Redirect - No Auth' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 1546ms,Pass,2026-06-19T04:50:43.231Z
Selenium Website E2E Tests,TC_SEL_108,Navigation: Sign-Up Link from Sign-In,Selector: anchor link | Action: Navigate / interact with 'Sign-Up Link from Sign-In' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 221ms,Pass,2026-06-19T04:50:44.786Z
Selenium Website E2E Tests,TC_SEL_109,Navigation: Sign-In Link from Sign-Up,Selector: anchor link | Action: Navigate / interact with 'Sign-In Link from Sign-Up' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 338ms,Pass,2026-06-19T04:50:45.014Z
Selenium Website E2E Tests,TC_SEL_110,Navigation: Google OAuth Button Click,Selector: OAuth redirect | Action: Navigate / interact with 'Google OAuth Button Click' → verify correct page loads or action taken,Step executes successfully in browser,Status: Pass | Error: None | Duration: 979ms,Pass,2026-06-19T04:50:45.366Z
Selenium Website E2E Tests,TC_SEL_111,Responsive: Desktop 1920x1080,Selector: viewport 1920x1080 | Action: Resize browser to 1920x1080 — verify Sign-In page renders correctly and no overflow,Step executes successfully in browser,Status: Pass | Error: None | Duration: 414ms,Pass,2026-06-19T04:50:46.351Z
Selenium Website E2E Tests,TC_SEL_112,Responsive: Desktop 1440x900,Selector: viewport 1440x900 | Action: Resize browser to 1440x900 — verify Sign-In page renders correctly and no overflow,Step executes successfully in browser,Status: Pass | Error: None | Duration: 204ms,Pass,2026-06-19T04:50:46.778Z
Selenium Website E2E Tests,TC_SEL_113,Responsive: Desktop 1280x800,Selector: viewport 1280x800 | Action: Resize browser to 1280x800 — verify Sign-In page renders correctly and no overflow,Step executes successfully in browser,Status: Pass | Error: None | Duration: 358ms,Pass,2026-06-19T04:50:46.991Z
